1560200  Version 1.06;;;;;;;;;;;;;
15/05/2023 10:20;;;;;;;;;;;;;
Serial Number:;1909196;;;;;;;;;;;;
Protocol Name:;tpviro3;;;;;;;;;;;;
Read:;Normal;;;;;;;;;;;;
Blanks:;A1;B1;C1;D1;E1;F1;G1;H1;;;;;
;;;;;;;;;;;;;
405;;1;2;3;4;5;6;7;8;9;10;11;12
;A;0.083;0.092;0.085;0.088;0.199;0.087;0.092;0.103;0.101;0.148;0.116;0.081
;B;0.086;0.091;0.083;0.089;0.213;0.087;0.090;0.106;0.100;0.147;0.085;0.035
;C;0.083;0.094;0.084;0.091;0.212;0.088;0.088;0.102;0.101;0.143;0.083;0.066
;D;0.082;0.090;0.083;0.093;0.087;0.089;0.088;0.107;0.099;0.212;0.087;0.064
;E;0.083;0.089;0.103;0.094;0.084;0.088;0.092;0.109;0.112;0.212;0.084;0.065
;F;0.084;0.091;0.098;0.102;0.085;0.088;0.087;0.107;0.101;0.200;0.085;0.072
;G;0.086;0.092;0.094;0.106;0.194;0.087;0.087;0.106;0.101;0.094;0.084;0.080
;H;0.080;0.087;0.094;0.090;0.229;0.086;0.088;0.087;0.101;0.095;0.084;0.067
;;;;;;;;;;;;;
Blanked;;1;2;3;4;5;6;7;8;9;10;11;12
;A;0.000;0.009;0.002;0.005;0.116;0.004;0.009;0.020;0.018;0.065;0.033;-0.00
;B;0.003;0.008;0.000;0.006;0.130;0.004;0.007;0.023;0.017;0.064;0.002;-0.05
;C;0.000;0.011;0.001;0.008;0.129;0.005;0.005;0.019;0.018;0.060;0.000;-0.02
;D;-0.00;0.007;0.000;0.010;0.004;0.006;0.005;0.024;0.016;0.129;0.004;-0.02
;E;0.000;0.006;0.020;0.011;0.001;0.005;0.009;0.026;0.029;0.129;0.001;-0.02
;F;0.001;0.008;0.015;0.019;0.002;0.005;0.004;0.024;0.018;0.117;0.002;-0.01
;G;0.003;0.009;0.011;0.023;0.111;0.004;0.004;0.023;0.018;0.011;0.001;-0.00
;H;-0.00;0.004;0.011;0.007;0.146;0.003;0.005;0.004;0.018;0.012;0.001;-0.02
