,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Bulk Density,Bd = M/V,,,,
,,,,,
,nº box,m(g) empty box,m(g) after drying,Density (g cm-3),porosity
S1R1,,"8,496","145,476","0,730","0,7245156296"
S1R2,,"12,726","154,436","0,706","0,733710754"
S1R3,,"12,770","186,042","0,577","0,7822161165"
S2R1,,"8,378","174,884","0,601","0,7733664309"
S2R2,,"8,694","200,220","0,522","0,8029727084"
S2R3,,"8,533","175,621","0,598","0,7741558397"
S3R1,,"8,662","188,808","0,555","0,7905263006"
S3R2,,"8,422","185,480","0,565","0,7868729509"
S3R3,,"8,474","188,806","0,555","0,7907423582"
S4R1,,"12,799","169,136","0,640","0,7586249637"
S4R2,,"12,812","193,466","0,554","0,7911153417"
S4R3,,"8,328","164,944","0,639","0,7590549557"
